No,TMNo,EnNo,Name,INOUT,Mode,DateTime
530,1,12,,0,0,8/13/2019 8:13
531,1,3,,0,0,8/13/2019 8:13
532,1,35,,0,0,8/13/2019 8:15
533,1,33,,0,0,8/13/2019 8:24
534,1,18,,0,0,8/13/2019 8:30
535,1,20,,0,0,8/13/2019 8:38
536,1,4,,0,0,8/13/2019 9:00
537,1,4,,0,0,8/13/2019 9:00
538,1,12,,0,0,8/13/2019 9:20
539,1,10,,0,0,8/13/2019 9:20
540,1,35,,0,0,8/13/2019 9:21
541,1,15,,0,0,8/13/2019 9:21
542,1,16,,0,0,8/13/2019 9:21
543,1,33,,0,0,8/13/2019 9:33
544,1,18,,0,0,8/13/2019 9:33
545,1,32,,0,0,8/13/2019 9:53
546,1,25,,0,0,8/13/2019 13:45
547,1,26,,0,0,8/13/2019 13:55
548,1,27,,0,0,8/13/2019 13:55
549,1,38,,0,0,8/13/2019 13:55
550,1,28,,0,0,8/13/2019 15:33
551,1,41,,0,0,8/13/2019 15:48
552,1,46,,0,0,8/13/2019 16:00
553,1,45,,0,0,8/13/2019 16:02
554,1,44,,0,0,8/13/2019 16:10
555,1,25,,0,0,8/13/2019 16:25
556,1,27,,0,0,8/13/2019 16:27
557,1,26,,0,0,8/13/2019 16:27
558,1,28,,0,0,8/13/2019 16:33
559,1,7,,0,0,8/13/2019 16:55
560,1,44,,0,0,8/13/2019 17:09
561,1,45,,0,0,8/13/2019 17:09
562,1,46,,0,0,8/13/2019 17:10
563,1,41,,0,0,8/13/2019 17:10
564,1,7,,0,0,8/13/2019 18:11
565,1,1,,0,0,8/13/2019 19:57
566,1,9,,0,0,8/14/2019 8:03
567,1,10,,0,0,8/14/2019 8:03
568,1,3,,0,0,8/14/2019 8:04
569,1,12,,0,0,8/14/2019 8:04
570,1,11,,0,0,8/14/2019 8:04
571,1,16,,0,0,8/14/2019 8:07
572,1,35,,0,0,8/14/2019 8:16
573,1,33,,0,0,8/14/2019 8:19
574,1,32,,0,0,8/14/2019 8:19
575,1,18,,0,0,8/14/2019 8:39
576,1,50,,0,0,8/14/2019 8:39
577,1,51,,0,0,8/14/2019 8:40
578,1,52,,0,0,8/14/2019 8:41
579,1,53,,0,0,8/14/2019 8:42
580,1,54,,0,0,8/14/2019 8:42
581,1,55,,0,0,8/14/2019 8:44
582,1,56,,0,0,8/14/2019 8:45
583,1,57,,0,0,8/14/2019 8:52
584,1,58,,0,0,8/14/2019 8:53
585,1,58,,0,0,8/14/2019 8:56
586,1,59,,0,0,8/14/2019 8:57
587,1,60,,0,0,8/14/2019 9:08
588,1,32,,0,0,8/14/2019 9:16
589,1,4,,0,0,8/14/2019 9:19
590,1,4,,0,0,8/14/2019 9:19
591,1,10,,0,0,8/14/2019 9:56
592,1,15,,0,0,8/14/2019 9:56
593,1,16,,0,0,8/14/2019 9:56
594,1,12,,0,0,8/14/2019 9:56
595,1,11,,0,0,8/14/2019 9:56
596,1,35,,0,0,8/14/2019 9:58
597,1,18,,0,0,8/14/2019 10:07
598,1,61,,0,0,8/14/2019 10:14
599,1,27,,0,0,8/14/2019 13:55
600,1,26,,0,0,8/14/2019 14:04
601,1,30,,0,0,8/14/2019 14:55
602,1,28,,0,0,8/14/2019 14:58
603,1,62,,0,0,8/14/2019 15:24
604,1,63,,0,0,8/14/2019 15:25
605,1,64,,0,0,8/14/2019 15:26
606,1,65,,0,0,8/14/2019 15:26
607,1,66,,0,0,8/14/2019 15:27
608,1,67,,0,0,8/14/2019 15:43
609,1,4,,0,0,8/14/2019 15:47
610,1,68,,0,0,8/14/2019 15:47
611,1,69,,0,0,8/14/2019 15:48
612,1,4,,0,0,8/14/2019 15:50
613,1,70,,0,0,8/14/2019 15:51
614,1,70,,0,0,8/14/2019 15:51
615,1,4,,0,0,8/14/2019 15:51
616,1,71,,0,0,8/14/2019 15:52
617,1,41,,0,0,8/14/2019 15:52
618,1,4,,0,0,8/14/2019 15:59
619,1,72,,0,0,8/14/2019 16:00
620,1,4,,0,0,8/14/2019 16:00
621,1,4,,0,0,8/14/2019 16:00
622,1,4,,0,0,8/14/2019 16:00
623,1,73,,0,0,8/14/2019 16:01
624,1,46,,0,0,8/14/2019 16:01
625,1,45,,0,0,8/14/2019 16:01
626,1,26,,0,0,8/14/2019 16:39
627,1,27,,0,0,8/14/2019 16:39
628,1,6,,0,0,8/14/2019 16:58
629,1,28,,0,0,8/14/2019 16:59
